,J,dJ,stepsize
0,0.2916666666666657,-1.000477399301424,0.04296875
1,0.26936511374637506,-0.0014134253675744178,0.04296875
2,0.26933359531643825,-2.0854435276457263e-06,0.04296875
3,0.26933354863446046,-4.403672653259234e-09,0.046875
4,0.2693335485328778,-9.935010916569625e-12,0.046875
5,0.26933354853264996,-2.2863140346643098e-14,0.03125
6,0.26933354853264935,-2.28236602023754e-15,0.015625
7,0.26933354853264946,-9.938876900038813e-16,0.03125
8,0.26933354853264935,-1.0309649568033512e-16,0.00390625
9,0.2693335485326493,-8.646258799147835e-17,0.00390625
10,0.26933354853264935,-7.251751593513466e-17,0.0625
11,0.2693335485326493,-8.98386718998024e-18,0.05859375
12,0.2693335485326492,-7.363909692920388e-19,0.25
13,0.26933354853264935,-1.5185245206485898e-17,0.0078125
14,0.2693335485326494,-1.0375428114484714e-17,0.03125
15,0.2693335485326494,-9.786765769445476e-19,0.49609375
16,0.26933354853264935,-9.736871826299211e-17,0.0625
17,0.26933354853264924,-1.4577775991714624e-17,0.00390625
18,0.26933354853264946,-1.2151212396078318e-17,0.234375
19,0.26933354853264924,-2.1659938050132312e-16,0.0078125
20,0.26933354853264935,-1.477082871485079e-16,0.0078125
21,0.2693335485326494,-1.0073551382218476e-16,0.03125
22,0.26933354853264924,-9.292548322021087e-18,0.00390625
23,0.26933354853264924,-7.747762306179776e-18,0.125
24,0.26933354853264935,-2.4594118444883964e-17,0.0078125
25,0.26933354853264924,-1.6777429028155374e-17,0.0625
26,0.26933354853264935,-2.5970694824488283e-18,0.03125
27,0.2693335485326494,-2.3699592948257664e-19,0.875
28,0.2693335485326493,-8.135054625153308e-17,0.0625
29,0.2693335485326493,-1.2767936220870988e-17,0.0625
30,0.2693335485326493,-2.0239428399378072e-18,0.5
31,0.2693335485326493,-2.102395291034284e-16,0.03125
32,0.26933354853264935,-1.8981481262276913e-17,0.00390625
33,0.2693335485326494,-1.5807766654357444e-17,0.0078125
34,0.26933354853264946,-1.0763342443495966e-17,0.25
35,0.2693335485326493,-2.272583458904979e-16,0.25
36,0.26933354853264935,-4.8004638414660554e-15,0.015625
37,0.2693335485326494,-2.029536011170533e-15,0.00390625
38,0.26933354853264946,-1.690119760627901e-15,0.0625
39,0.2693335485326493,-2.6934983663845657e-16,0.125
